11G 	-4692	-2944
11H 	-4635	-2790
12A 	-4500	-3000
12B 	-4340	-2840
12C 	-4135	-2635
12D 	-4500	-2845
12E 	-4345	-3000
12F 	-4443	-2690
12G 	-4192	-2944
12H 	-4135	-2790
13A 	-4000	-3000
13B 	-3840	-2840
13C 	-3635	-2635
13D 	-4000	-2845
13E 	-3845	-3000
13F 	-3790	-2677
13G 	-3692	-2944
13H 	-3635	-2790
14A 	-3500	-3000
14B 	-3340	-2840
14C 	-3135	-2635
14D 	-3500	-2845
14E 	-3345	-3000
14F 	-3290	-2677
14G 	-3135	-2944
14H 	-3135	-2790
15A 	-3000	-3000
15B 	-2840	-2840
15C 	-2635	-2635
15D 	-3000	-2845
15E 	-2845	-3000
15F 	-3000	-2690
15G 	-2845	-2634
15H 	-2680	-2790
16A 	-2500	-3000
16B 	-2340	-2840
16C 	-2135	-2635
16D 	-2500	-2845
16E 	-2345	-3000
16F 	-2500	-2690
16G 	-2290	-2634
16H 	-2180	-2790
17A 	-2000	-3000
17B 	-1840	-2840
17C 	-1635	-2635
17D 	-2000	-2845
17E 	-1845	-3000
17F 	-1943	-2690
17G 	-1790	-2634
17H 	-1680	-2790
18A 	-1500	-3000
18B 	-1340	-2840
18C 	-1135	-2635
18D 	-1500	-2845
18E 	-1345	-3000
18F 	-1443	-2634
18G 	-1290	-2634
18H 	-1180	-2790
19A 	-1000	-3000
19B 	-840	-2840
19C 	-635	-2635
19D 	-1000	-2845
19E 	-845	-3000
19F 	-1000	-2690
19G 	-692	-3000
19H 	-680	-2790
20A 	-500	-3000
20B 	-340	-2840
20C 	-135	-2635
20D 	-500	-2845
20E 	-345	-3000
20F 	-443	-2690
20G 	-192	-3000
20H 	-180	-2790
21A 	-5000	-2500
21B 	-4840	-2340
21C 	-4635	-2135
21D 	-5000	-2345
21E 	-4845	-2500
21F 	-4790	-2134
21G 	-4692	-2500
21H 	-4680	-2290
22A 	-4500	-2500
22B 	-4340	-2340
22C 	-4135	-2135
22D 	-4500	-2345
22E 	-4345	-2500
22F 	-4500	-2190
22G 	-4192	-2444
22H 	-4180	-2290
23A 	-4000	-2500
23B 	-3840	-2340
23C 	-3635	-2135
23D 	-4000	-2345
23E 	-3845	-2500
23F 	-3943	-2190
23G 	-3692	-2444
23H 	-3680	-2290
24A 	-3500	-2500
24B 	-3340	-2340
24C 	-3135	-2135
24D 	-3500	-2345
24E 	-3345	-2500
24F 	-3290	-2134
24G 	-3192	-2444
24H 	-3180	-2290
25A 	-3000	-2500
25B 	-2840	-2340
25C 	-2635	-2135
25D 	-3000	-2345
25E 	-2845	-2500
25F 	-3000	-2190
25G 	-2845	-2134
25H 	-2692	-2500
26A 	-2500	-2500
26B 	-2340	-2340
26C 	-2135	-2135
26D 	-2500	-2345
26E 	-2345	-2500
26F 	-2500	-2134
26G 	-2345	-2134
26H 	-2192	-2500
27A 	-2000	-2500
27B 	-1840	-2340
27C 	-1635	-2135
27D 	-2000	-2345
